Perfume,Brand,Gender,Year,Top,Middle,Base,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5,Rating Value,Rating Count
bad-boy,carolina-herrera,men,2019.0,"white pepper, bergamot, pink pepper","cedarwood, clary sage","tonka bean, cacao",warm spicy,fresh spicy,cacao,vanilla,aromatic,3.64,3443
lucky-charm,carolina-herrera,women,2022.0,"mirabelle, mandarin orange","iris, jasmine","sandalwood, vanilla",woody,powdery,fruity,citrus,iris,3.64,28
love-in-black,creed,women,2008.0,"italian violet, virginia cedar, wildflowers","iris, musk, cloves","black currant, bulgarian rose",powdery,violet,floral,woody,iris,3.64,1442
queen-of-silk,creed,women,2024.0,"saffron, osmanthus, magnolia","passionfruit, tuberose, patchouli, agarwood (oud)","madagascar vanilla, ambroxan, myrrh, musk, cedarwood, incense",amber,warm spicy,floral,fruity,vanilla,3.64,416
sous-le-pont-mirabeau,etat-libre-d-orange,unisex,2023.0,"fig leaf, bergamot, pink pepper, elemi","sea notes, ozonic notes, violet, olibanum","orcanox, sandalwood, musk, cedar, vanilla",marine,woody,aromatic,ozonic,green,3.64,414
emporio-armani-diamonds-club,giorgio-armani,women,2016.0,"mandarin orange, water notes",rose,patchouli,citrus,aquatic,rose,patchouli,fresh,3.64,47
lineage,amouage,unisex,2023.0,"ginger, sichuan pepper, peruvian pepper, saffron","olibanum, myrrh, fenugreek","olibanum, myrrh, labdanum, benzoin, vetiver, patchouli",amber,warm spicy,fresh spicy,woody,balsamic,3.64,682
eau-de-neroli-dore,hermes,unisex,2016.0,bitter orange,neroli,saffron,citrus,fresh,white floral,warm spicy,fresh spicy,3.64,567
rock-the-ages-pomegranate-noir,jo-malone-london,unisex,2015.0,"pomegranate, raspberry, rhubarb, plum, watermelon","cloves, incense, casablanca lily, jasmine, pink pepper","guaiac wood, patchouli, amber, musk",woody,fruity,warm spicy,sweet,amber,3.64,55
lavender-coriander,jo-malone-london,unisex,2016.0,"coriander, juniper","lavender, wormwood","lavender, sage, tonka bean",aromatic,lavender,herbal,fresh spicy,soft spicy,3.64,61
la-vie-est-belle,lancome,women,2012.0,"black currant, pear","iris, jasmine, orange blossom","praline, vanilla, patchouli, tonka bean",sweet,vanilla,fruity,patchouli,woody,3.64,28982
tresor,lancome,women,1990.0,"peach, rose, apricot blossom, lilac, pineapple, lily-of-the-valley, bergamot","rose, iris, heliotrope, jasmine","peach, apricot, vanilla, sandalwood, amber, musk",fruity,powdery,floral,sweet,rose,3.64,12043
prada-candy-florale,prada,women,2014.0,limoncello,peony,"honey, caramel, musk, benzoin",floral,fresh,honey,sweet,citrus,3.64,1997
kouros,yves-saint-laurent,men,1981.0,"aldehydes, coriander, clary sage, artemisia, bergamot","patchouli, carnation, geranium, vetiver, cinnamon, jasmine, orris root, lavender","civet, honey, leather, musk, oakmoss, amber, tonka bean, vanilla",musky,animalic,aromatic,powdery,honey,3.64,7401
silk,zara,women,Inconnu,yuzu,"rose, magnolia",musk,floral,citrus,rose,musky,powdery,3.64,72
no-3-citrus-meze,zara,women,2021.0,"bergamot, grapefruit","neroli, orange blossom","musk, akigalawood",citrus,fresh spicy,white floral,aromatic,Unknown,3.64,70
body,burberry,women,2011.0,"peach, wormwood, freesia","rose, sandalwood, iris","musk, cashmere wood, vanille, amber",powdery,woody,musky,rose,floral,3.65,7867
ck-in2u-him-collectables,calvin-klein,men,2009.0,"lemon, tomato leaf",cacao pod,"cedar, white musk, vetiver",aromatic,woody,cacao,citrus,musky,3.65,40
defy-eau-de-parfum,calvin-klein,men,2022.0,"mandarin orange, black pepper","saffiano leather, suede",haitian vetiver,aromatic,citrus,fresh spicy,woody,leather,3.65,352
